first name,last name,Google Scholar URL,sanitized_username
Kiril Vadimovic,Klein,https://scholar.google.com/citations?user=8k9TwncAAAAJ,kiril-vadimovic_klein
Kristian,Olesen,https://scholar.google.com/citations?user=K9aQCYQAAAAJ,kristian_olesen
Kristin,Kaltenhäuser,https://scholar.google.com/citations?user=cOSBlXgAAAAJ,kristin_kaltenhauser
Kristjan,Eldjarn,https://scholar.google.is/citations?user=K1H_xSgAAAAJ&hl=en,kristjan_eldjarn
Kristoffer Hougaard,Madsen,https://scholar.google.com/citations?user=2SFcdW0AAAAJ&hl=da,kristoffer-hougaard_madsen
Kyveli,Kompatsiari,https://scholar.google.com/citations?user=p8N1pgkAAAAJ&hl=en&oi=ao,kyveli_kompatsiari
Lasse,Heje Pedersen,https://scholar.google.com/citations?user=XhSFeucAAAAJ,lasse_heje-pedersen
Laura Maria,Alessandretti,https://scholar.google.dk/citations?user=2265XuYAAAAJ&hl=da,laura-maria_alessandretti
Lazaros,Nalpantidis,https://scholar.google.dk/citations?user=YAx9230AAAAJ,lazaros_nalpantidis
Leon,Derczynski,https://scholar.google.dk/citations?user=d8iwqa8AAAAJ&hl=en,leon_derczynski
Léonard,Van Rompaey,https://scholar.google.com/citations?user=Ifwn1J8AAAAJ,leonard_van-rompaey
LI,QUAN,https://scholar.google.com/citations?hl=en&user=g4WpWPwAAAAJ,li_quan
Line,Clemmensen,https://scholar.google.com/citations?user=_S285OAAAAAJ&hl=da,line_clemmensen
Line,Reinhardt,https://scholar.google.dk/citations?user=-1qVGF4AAAAJ&hl=da,line_reinhardt
Louis,Boucherie,https://scholar.google.com/citations?user=UtfTBZ4AAAAJ&hl=fr&authuser=1,louis_boucherie
Louise,Pape-Haugaard,https://scholar.google.dk/citations?user=05FE5m4AAAAJ&hl=da&oi=sra,louise_pape-haugaard
Louise,Barkhuus,https://scholar.google.com/citations?user=dAeFXDcAAAAJ&hl=en&oi=ao,louise_barkhuus
Luca Maria,Aiello,https://scholar.google.com/citations?user=FIX-7hcAAAAJ&hl=en,luca-maria_aiello
Mads,Hobye,https://scholar.google.com/citations?user=R1XUBjUAAAAJ&hl=en,mads_hobye
Mahshid,Javidsharifi,https://scholar.google.com/citations?hl=en&user=97mDiGwAAAAJ,mahshid_javidsharifi
Malte,Pedersen,https://scholar.google.com/citations?user=RREDgy4AAAAJ&hl=en,malte_pedersen
Mantas,Cibulskis,https://scholar.google.com/citations?user=_yOOYrEAAAAJ&hl=lt,mantas_cibulskis
Manxi,Lin,https://scholar.google.com/citations?user=RApnUsEAAAAJ&hl=en,manxi_lin
Marco,Chiarandini,https://scholar.google.com/citations?user=RUfo3KoAAAAJ,marco_chiarandini
Marco,Salvatore,https://scholar.google.it/citations?user=oCArlZQAAAAJ&hl=it,marco_salvatore
Marco,Pizzolato,https://scholar.google.com/citations?user=3I7B2DYAAAAJ,marco_pizzolato
Margherita,Lazzaretto,https://scholar.google.com/citations?user=Br8HChIAAAAJ,margherita_lazzaretto
Marjan,Mansourvar,https://scholar.google.com.my/citations?user=tPhAEvEAAAAJ&hl=en,marjan_mansourvar
Martin,Tolsgaard,https://scholar.google.com/citations?user=SVu_X0sAAAAJ&hl=en,martin_tolsgaard
Martin,Bøgsted,https://scholar.google.com/citations?user=M8tBrVgAAAAJ&hl=da,martin_bogsted
Martin,Nørgaard,https://scholar.google.com/citations?user=EMYkDoQAAAAJ&hl=en,martin_norgaard
Matthew,Collins,https://scholar.google.com/citations?user=oWhB_2oAAAAJ&hl=en,matthew_collins
Max,Müller-Eberstein,https://scholar.google.com/citations?user=mI392-4AAAAJ,max_muller-eberstein
Melanie,Ganz-Benjaminsen,https://scholar.google.dk/citations?user=5AXE0skAAAAJ&hl=en,melanie_ganz-benjaminsen
Michael,Kastoryano,https://scholar.google.dk/citations?user=2roUPxkAAAAJ&hl=en,michael_kastoryano
Michael,Szell,http://scholar.google.com/citations?hl=en&user=3kwJhIcAAAAJ,michael_szell
Michael Friis,Lippert,https://scholar.google.com/citations?hl=da&user=Qmivq-AAAAAJ,michael-friis_lippert
Miguel,González-Duque,https://scholar.google.com/citations?user=eje0FAYAAAAJ&hl=es,miguel_gonzalez-duque
Mihai,MOLDOVAN,https://scholar.google.com/citations?user=f5GoytcAAAAJ,mihai_moldovan
Mikkel,Schmidt,http://scholar.google.dk/citations?user=IjF4ExkAAAAJ&hl=da,mikkel_schmidt
Mikkel,Kjærgaard,https://scholar.google.dk/citations?user=rWlCJVQAAAAJ&hl=da&oi=ao,mikkel_kjaergaard
Ming,Shen,https://scholar.google.com/citations?user=3m43L38AAAAJ,ming_shen
