first name,last name,Google Scholar URL
Olga,Iarygina,https://scholar.google.com/citations?user=9zk2nZoAAAAJ&hl=en
Oswin,Krause,https://scholar.google.com/citations?user=5ER3NYoAAAAJ
Pablo,Moreno-Munoz,https://scholar.google.es/citations?user=8vL8iawAAAAJ&hl=es
Panagiotis,Karras,https://scholar.google.com/citations?user=B6C4aBoAAAAJ
Paolo,Burelli,https://scholar.google.com/citations?user=cWWAQPYAAAAJ&hl=da
Paraskevas,Pegios,https://scholar.google.com/citations?user=LVACmX4AAAAJ
Paul,Jeha,https://scholar.google.com/citations?user=Ate9tL0AAAAJ&hl=fr&oi=ao
Peter,Schneider-Kamp,https://scholar.google.dk/citations?user=9PSkUdwAAAAJ
Peter,Sestoft,https://scholar.google.com/citations?user=qz1BCu8AAAAJ&hl=en&oi=ao
Peter,Mørch Groth,https://scholar.google.com/citations?user=UO0Z4PIAAAAJ
Peter,Sestoft,https://scholar.google.com/citations?user=qz1BCu8AAAAJ
Peter Ebert,Christensen,https://scholar.google.com/citations?user=6MejXVYAAAAJ&hl=en&oi=ao
Peter Edsberg,Møllgaard,https://scholar.google.com/citations?user=fOsXIgcAAAAJ&hl=en&oi=ao
Peter Gorm,Larsen,https://scholar.google.com/citations?user=ooFozxQAAAAJ
Pinar,Tozun,https://scholar.google.com/citations?user=JTmMb3kAAAAJ
Rafal,Wisniewski,https://scholar.google.com/citations?user=uoH_txQAAAAJ&hl=da&oi=ao
Raghavendra,Selvan,https://scholar.google.com/citations?user=R9VBQ54AAAAJ&hl=en
Rasmus R.,Paulsen,https://scholar.google.com/citations?user=UkOaTWAAAAAJ&hl=da
Richard,Michael,https://scholar.google.com/citations?user=-U772ZIAAAAJ
Rikke,Gade,https://scholar.google.com/citations?user=WqLUZY8AAAAJ&hl=da&oi=ao
Rob,van der Goot,https://scholar.google.com/citations?user=lU4zpOEAAAAJ&hl=nl
Robert,Jenssen,https://scholar.google.com/citations?hl=en&user=HiviXjIAAAAJ
Roberta,Sinatra,https://scholar.google.com/citations?user=PL8nGh4AAAAJ&hl=en
Roberto,Galeazzi,https://scholar.google.com/citations?user=aqvfXLcAAAAJ&hl=en
Roman,Jurowetzki,https://scholar.google.com/citations?user=9Zwa75gAAAAJ&hl=en&oi=sra
Rune,Berg,https://scholar.google.com/citations?hl=en&user=x1QHxIUAAAAJ
Sagie,Benaim,https://scholar.google.com/citations?user=-zSM2I8AAAAJ&hl=en
Salif Axel,Komi,https://scholar.google.com/citations?user=4VxBgJMAAAAJ&hl=fr&oi=ao
Samir,Bhatt,https://scholar.google.com/citations?user=tL0x_vUAAAAJ&hl=en
Samuel,Demharter,https://scholar.google.com/citations?user=RAFNEeAAAAAJ&hl=en
Sandro,Sousa,https://scholar.google.com/citations?user=38s9SVgAAAAJ&hl=en
Sanja,Lazarova-Molnar,https://scholar.google.com/citations?user=kcPJDIAAAAAJ&hl=da&oi=ao
Sara,Marjanovic,https://scholar.google.com/citations?user=f026qd8AAAAJ&hl=en
Sarthak,Yadav,https://scholar.google.com/citations?user=cVsg9VsAAAAJ&hl=en
Sarthak,Yadav,https://scholar.google.com/citations?user=cVsg9VsAAAAJ
Satya M,Muddamsetty,https://scholar.google.com/citations?user=5CLeSukAAAAJ
Sebastian,Weichwald,https://scholar.google.com/citations?user=lApaQd4AAAAJ
Sebastian,Schwemer,https://scholar.google.com/citations?user=lPJ_34IAAAAJ
Sergio,Escalera,https://scholar.google.com/citations?user=oI6AIkMAAAAJ
Sergios,Theodoridis,https://scholar.google.com/citations?user=3dBjdv4AAAAJ&hl=en
Shashi Raj,Pandey,https://scholar.google.com/citations?user=yFmz36AAAAAJ
Shashi Raj,Pandey,https://scholar.google.com/citations?user=yFmz36AAAAAJ
Shuai,Zhao,https://scholar.google.com/citations?user=-QHLgIAAAAAJ&hl=en
Shuai,Zhang,https://scholar.google.com/citations?user=1NEiHdQAAAAJ&hl=en
siavash,arjomand Bigdeli,https://scholar.google.com/citations?hl=de&user=NhEK9voAAAAJ
Siavash,A. Bigdeli,https://scholar.google.com/citations?user=NhEK9voAAAAJ
Silvia,Tolu,https://scholar.google.it/citations?user=ITsafnMAAAAJ&hl=it
Simon,Bøgh,https://scholar.google.com/citations?user=l3u9RVgAAAAJ
Sine,Zambach,https://scholar.google.com/citations?hl=da&user=sI4U54wAAAAJ
Sine Nørholm,Just,https://scholar.google.com/citations?user=6qSnRigAAAAJ&hl=da&oi=ao
Sneha,Das,https://scholar.google.com/citations?user=eL0_3FUAAAAJ
Sokol,Kosta,https://scholar.google.it/citations?user=NOi_xTgAAAAJ&hl=en
Søren,Knudsen,https://scholar.google.com/citations?user=wpsOZm0AAAAJ
Søren,Hauberg,https://scholar.google.com/citations?user=M1fMGOMAAAAJ
Søren,Kyllingsbæk,https://scholar.google.dk/citations?user=TIMCthYAAAAJ&hl=en&oi=ao
Srishti,Yadav,https://scholar.google.ca/citations?hl=en&user=LW9fQacAAAAJ
Stefan,Heinrich,https://scholar.google.de/citations?user=hHx7vgoAAAAJ
Stefan,Sommer,https://scholar.google.com/citations?user=GGh0haAAAAAJ
Stella,Graßhof,https://scholar.google.com/citations?hl=en&user=kSuLm58AAAAJ
Stella,Frank,https://scholar.google.com/citations?user=AuOze3UAAAAJ&hl=nl&oi=ao
Stina,Matthiesen,https://scholar.google.com/citations?user=8WFwlh4AAAAJ
Stine,Gotved,https://scholar.google.com/citations?user=1KFd4wIAAAAJ
Subham,Sahoo,https://scholar.google.dk/citations?user=gi0pwoQAAAAJ
Sune,Darkner,https://scholar.google.dk/citations?user=E-Mu-IIAAAAJ
Tariq Osman,Andersen,https://scholar.google.co.uk/citations?user=FMtPAZ0AAAAJ
Tejs,Vegge,https://scholar.google.com/citations?user=rfnfcp0AAAAJ
Teresa,Hirzle,https://scholar.google.com/citations?user=ozJvIuoAAAAJ&hl=de&oi=ao
Thea,Brüsch,https://scholar.google.com/citations?user=d5tGeskAAAAJ
Thomas,Gammeltoft-Hansen,https://scholar.google.com/citations?user=UHqHqd0AAAAJ&hl=en
Thomas,Hildebrandt,https://scholar.google.com/citations?user=g3QnDU0AAAAJ&hl=en
Thomas,Hamelryck,https://scholar.google.com/citations?user=YoTlzjkAAAAJ&hl=en
Thomas Dyhre,Nielsen,https://scholar.google.com/citations?user=6fWF0CgAAAAJ&hl=da
Tijs,Slaats,https://scholar.google.com/citations?user=c9fu-JIAAAAJ&hl=en
Timothy,Jenkins,https://scholar.google.de/citations?user=90oElWgAAAAJ&hl=en
Toke,Høye,https://scholar.google.dk/citations?hl=da&user=veyhhTsAAAAJ
Tomislav,Dragicevic,https://scholar.google.com/citations?user=-cOE0hUAAAAJ
Tommy Sonne,Alstrøm,https://scholar.google.dk/citations?user=jAmaPr4AAAAJ
Tor-Salve,Dalsgaard,https://scholar.google.com/citations?user=RVTz6jgAAAAJ
Tuukka,Ruotsalo,https://scholar.google.com/citations?user=Dwj2B9EAAAAJ
Ulrik,Schultz,https://scholar.google.com/citations?user=o2-ZYpEAAAAJ
Vasiliki,Fragkia,https://scholar.google.com/citations?user=GM7M-0AAAAAJ
Vedran,Sekara,https://scholar.google.dk/citations?user=u_dmO4UAAAAJ&hl=en
Vedrana,Dahl,https://scholar.google.dk/citations?user=UKzooBcAAAAJ&hl=da
Vésteinn,Snæbjarnarson,https://scholar.google.com/citations?user=cp283P4AAAAJ
Wei,Fan,https://scholar.google.com/citations?user=vP57OjMAAAAJ&hl=da
Wouter,Boomsma,https://scholar.google.com/citations?user=EwqU_jsAAAAJ&hl=en
Yevgeny,Seldin,https://scholar.google.dk/citations?user=fpWsD9oAAAAJ&hl=en
yijie,zhang,https://scholar.google.com/citations?user=HVR4014AAAAJ&hl=en
Yongluan,Zhou,https://scholar.google.com/citations?user=Tqh1RIkAAAAJ
