Name,Affiliation,Citations,H-Index,I10-Index,Interests,Profile Picture URL
"Jannick Kirk Sørensen","Associate professor in Digital Media, Dept. of Electronic Systems, Aalborg University, Denmark",476,13,15,"Personalisation technologies;algorithmic bias;diversity;public service media","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=mgOOAPQAAAAJ&citpid=1"
"Jason W. Burton","Copenhagen Business School",440,5,4,"computational social science;judgment & decision making;social networks;collective intelligence","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-uFQHacAAAAJ&citpid=1"
"JASPREET KAUR","Assistant Professor at Neuroscience department, University of Copenhagen",128,7,5,"Motor Control;Spinal Cord Injury;Locomotion;Clinical Pharmacology;Neuroprotection","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=vdUTAyAAAAAJ&citpid=6"
"Jens Egholm Pedersen","KTH",71,3,2,"neuroscience;computer science;robotics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=A4VwxccAAAAJ&citpid=1"
"Jens Ulrik Hansen","Associate Professor, Roskilde University",448,12,14,"Artificial Intelligence;Data Science and Machine Learning;Big Data;Formal and social epistemology;Logics for intelligent int","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=z-2DGOEAAAAJ&citpid=3"
"Jes Frellsen","Associate Professor, Technical University of Denmark (DTU)",1352,19,29,"Deep Learning;Deep generative models;Statistical Machine Learning;Directional Statistics;Bioinformatics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Yj2sBWkAAAAJ&citpid=3"
"Jichen Zhu","Associate Professor, IT University of Copenhagen",1720,20,51,"human AI interaction;personalized adaptive games","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=t5AZ2-AAAAAJ&citpid=2"
"Joakim Juhl","Technical University of Munich, Department of STS",257,6,4,"STS;Science;Innovation and Design","N/A"
"Joakim Bruslund Haurum","Postdoc, Aalborg University / Pioneer Centre for AI",309,7,7,"Computer Vision;Machine Learning;Automated Sewer Inspection;Marine Vision","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=GAEtgr4AAAAJ&citpid=2"
"Joanna Bergström","Human-Centered Computing Section, Department of Computer Science, University of Copenhagen",672,13,16,"Human–Computer Interaction","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=NL1Q89sAAAAJ&citpid=2"
"Jon Sporring","University of Copenhagen",2561,20,41,"(Medical) Image Processing;Computer Graphics;Information Theory","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=COP1HUwAAAAJ&citpid=2"
"Jonas Peters","Professor of Statistics, ETH Zurich",10519,36,52,"Causal Inference;Statistics;Machine Learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kBQ4VvEAAAAJ&citpid=6"
"Jonas L. Juul","Institute for Applied Mathematics and Computer Science, Technical University of Denmark",174,6,4,"Networks;Spreading processes;Complex Systems;Data Science;Computational Social Science","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=uJPXFyMAAAAJ&citpid=11"
"Jonas Valbjørn Andersen","IT University of Copenhagen",167,5,4,"Distributed Information Systems;Blockchain governance;Internet of Things (IoT) ecosystems;Digital transformation","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=gs8NZNsAAAAJ&citpid=6"
"Kaare Mikkelsen","Dept. of Electrical and Computer Engineering, Aarhus University",888,15,18,"neurophysics;mobile eeg;sleep;machine learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DL5CvZoAAAAJ&citpid=3"
"Kamal Nasrollahi","Aalborg University/ Milestone Systems",3346,29,60,"Machine Learning and Computer Vision","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=EqjkO6sAAAAJ&citpid=2"
"Kasper Hornbæk","University of Copenhagen",13436,53,144,"Human-computer interaction;information visualization;large displays;tangible user interfaces;user experience","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=S6VMDA8AAAAJ&citpid=5"
"Kasper Green Larsen","Professor, Computer Science, Aarhus University",2191,28,50,"Data Structures;Computational Geometry;Theoretical Computer Science;Machine Learning;Complexity Theory","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ZluoxUcAAAAJ&citpid=5"
